Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Success,Reason

1.77285e+09,4.99782,19.8977,-0.0148624,4.97683,19.9073,0.131366,0.0230714,0.146229,1.47648,1,Early_Touchdown
1.77285e+09,4.91804,0.000182666,-0.097687,4.92,0,-0.0382994,0.00196449,0.0593876,1.3703,1,Early_Touchdown
1.77285e+09,4.9327,0.000511403,-0.151223,4.92,0,-0.253652,0.012706,0.10243,1.34467,1,Early_Touchdown
1.77285e+09,4.92532,0.00239881,0.229642,4.92,0,0.0319912,0.00583783,0.197651,1.32673,1,Early_Touchdown
1.77285e+09,4.89743,-0.00109006,0.0770786,4.92,0,0.23273,0.0226001,0.155651,1.31319,1,Early_Touchdown
1.77285e+09,4.92925,-0.000278683,1.41475,4.92,0,0.0236609,0.00925022,1.39109,1.12333,1,Perfect_Timeout
1.77285e+09,4.972,-0.00207695,1.44566,4.92,0,0.0387314,0.0520456,1.40693,1.02558,1,Perfect_Timeout
1.77285e+09,4.96799,-0.000456354,1.58383,4.92,0,-0.0938153,0.0479877,1.67764,1.04981,0,Timeout_Fail
1.77285e+09,4.92906,-0.00183282,1.54702,4.92,0,0.175659,0.00924164,1.37136,1.14597,0,Timeout_Fail
1.77294e+09,4.92264,0.00362525,-0.0726407,4.92,0,0.29897,0.00448539,0.37161,0.595363,0,Timeout_Fail
1.77294e+09,4.9575,0.0064005,-0.23192,4.92,0,0.193089,0.0380396,0.42501,0.851031,0,Timeout_Fail
1.77294e+09,4.94856,0.000174241,1.81978,4.92,0,-0.25611,0.0285585,2.07589,1.03317,0,Timeout_Fail
1.77294e+09,4.92756,0.00095833,1.44951,4.92,0,0.252679,0.00762274,1.19683,1.30795,0,Timeout_Fail
1.77294e+09,4.97215,0.115333,-0.124283,4.92,0,-0.230321,0.126576,0.106038,1.45881,1,Early_Touchdown
1.77294e+09,4.55053,-0.534539,1.52744,4.92,0,-0.189502,0.649802,1.71694,2.6811,0,Timeout_Fail
1.77294e+09,4.94699,0.000829533,1.54575,4.92,0,-0.21306,0.0270063,1.75881,1.26188,0,Timeout_Fail
1.77294e+09,4.92773,-0.0104164,1.70326,4.92,0,-0.262992,0.0129721,1.96626,1.29828,0,Timeout_Fail
1.77294e+09,4.97853,-0.000136941,1.48009,4.92,0,0.264398,0.0585275,1.21569,0.931429,0,Timeout_Fail
1.77295e+09,4.96299,-0.000228119,1.38375,4.92,0,0.282729,0.0429932,1.10102,0.997793,0,Timeout_Fail
1.77295e+09,4.96002,-0.0029277,1.34947,4.92,0,-0.296802,0.0401314,1.64627,1.06058,0,Timeout_Fail
1.77295e+09,0.0253976,-0.00422372,-0.00357583,0,0,0.0743297,0.0257464,0.0779055,1.44798,1,Early_Touchdown
1.77295e+09,0.00403063,0.0260155,0.0586063,0,0,0.15898,0.0263258,0.100373,1.31272,1,Early_Touchdown
1.77295e+09,-0.0555104,0.00129952,-0.408498,0,0,-0.247909,0.0555256,0.160588,1.37969,1,Early_Touchdown
1.77295e+09,0.0256721,-0.0122498,0.104063,0,0,0.284804,0.0284449,0.180741,1.20974,1,Early_Touchdown
1.77303e+09,0.0420067,0.04315,-0.358914,0,0,-0.0583817,0.0602204,0.300533,1.29347,0,Timeout_Fail
1.77303e+09,0.047663,0.000623938,0.213427,0,0,0.207218,0.0476671,0.00620829,1.30754,1,Early_Touchdown
1.77303e+09,0.0355494,-0.00430938,0.0705887,0,0,0.222946,0.0358096,0.152357,1.39758,1,Early_Touchdown
1.77303e+09,0.0381567,-0.178945,-0.198533,0,0,-0.0421615,0.182968,0.156372,1.38661,1,Early_Touchdown
1.77303e+09,0.0340982,0.0178335,0.0558478,0,0,-0.110131,0.0384801,0.165979,1.36052,1,Early_Touchdown
1.77303e+09,-31.972,-5.84202,15.2471,0,0,-0.0470299,32.5014,15.2941,3.2796,0,Timeout_Fail
1.77304e+09,0.0586115,0.00423919,0.00880511,0,0,-0.0746271,0.0587646,0.0834322,1.40147,1,Early_Touchdown
1.77304e+09,-0.649499,5.63032,26.0689,0,0,-0.222561,5.66766,26.2915,12.0091,0,Timeout_Fail
1.77304e+09,-1.7318,0.00493458,-0.854978,0,0,-0.256226,1.73181,0.598752,1.53399,0,Timeout_Fail
1.77304e+09,-0.151504,0.00447594,0.0320075,0,0,0.177633,0.15157,0.145625,1.46526,1,Early_Touchdown
1.77304e+09,0.126418,0.212715,-0.186344,0,0,-0.242229,0.247445,0.0558857,1.19444,1,Early_Touchdown
1.77305e+09,-0.116428,0.00131747,0.298026,0,0,0.149409,0.116436,0.148617,1.45973,1,Early_Touchdown
1.77313e+09,-0.00518046,-0.01339,0.0729319,0,0,-0.126467,0.0143572,0.199399,1.17744,1,Early_Touchdown
